Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What are KPMG's selection criteria?	We welcome applications from graduates who have good academic records, demonstrate strong communication skills, have a real interest in business and possess a desire to learn about the industries in which KPMG operates. The ideal candidate is someone who is hard working, enthusiastic and a real team player. Regardless of your degree, we are looking for people who are willing to put in the time to become highly-skilled young professionals and do their best to grow at KPMG.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	1
selection criteria?	We welcome applications from graduates who have good academic records, demonstrate strong communication skills, have a real interest in business and possess a desire to learn about the industries in which KPMG operates. The ideal candidate is someone who is hard working, enthusiastic and a real team player. Regardless of your degree, we are looking for people who are willing to put in the time to become highly-skilled young professionals and do their best to grow at KPMG.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	1
What are the selection criteria?	We welcome applications from graduates who have good academic records, demonstrate strong communication skills, have a real interest in business and possess a desire to learn about the industries in which KPMG operates. The ideal candidate is someone who is hard working, enthusiastic and a real team player. Regardless of your degree, we are looking for people who are willing to put in the time to become highly-skilled young professionals and do their best to grow at KPMG.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	1
Which positions are available?	KPMG is recruiting staff for all practice areas – audit, tax and advisory. To help you decide which area is best suited to you, take a look at our \n\n[careers website](https://home.kpmg/cn/en/home/careers/who-we-are/about-kpmg.html)\n\nwhere you can learn more about what these different functions do and what you can expect in your daily work.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	2
positions avail	KPMG is recruiting staff for all practice areas – audit, tax and advisory. To help you decide which area is best suited to you, take a look at our \n\n[careers website](https://home.kpmg/cn/en/home/careers/who-we-are/about-kpmg.html)\n\nwhere you can learn more about what these different functions do and what you can expect in your daily work.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	2
Can I apply to work in a particular city even if I am not currently located there?	As long as you are a PRC national, we can process your application for any of our locations in the PRC. For our Hong Kong office, you will be eligible to apply if you hold a permanent Hong Kong Identification Card or a valid work permit. For the Macau office, you will need to be a Macau Identification Card holder.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	3
Which degree majors does KPMG prefer?	Although KPMG is a professional services firm providing audit, tax, and advisory services, we do not only look for accounting/finance related majors. Graduates with a degree in any discipline are welcome to join us, as a diverse workforce with a wide variety of skills can offer a lot to our clients. You may be surprised to learn that one of our audit partners has a degree in chemistry! Also, many of our professional staff majored in science, technology and humanities.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html		[]	false	[]	4
Does KPMG give more credit to students who do extracurricular activities?	We do not automatically give credit to such students simply because they are involved in many extracurricular or social activities. The only way that such experience comes into play is when it provides evidence of the skills and behaviours required within KPMG globally. Those involved in fewer extracurricular activities may be able to prove themselves in other ways if their area of interest is relevant to KPMG.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	5
Does KPMG have a preference for postgraduates as opposed to undergraduates?	No, we treat all graduates equally. Our selection process does not favour those who have studied for longer, though this does not mean that we will ignore the extra two/three years’ study for postgraduate applicants.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	6
Does KPMG prefer to recruit male/female students?	Gender is definitely not a selection criteria and KPMG prides itself on being an equal opportunities employer.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	7
Does KPMG recruit people with work experience?	If you have work experience which is related to audit, tax and advisory, we welcome your application through the experienced hire programme rather than the graduate recruitment programme. Please visit the \n\n[Experienced Hire section](https://home.kpmg/cn/en/home/careers/experienced-hires.html)\n\nof this site for more information.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	8
Does KPMG require a high level of English proficiency?	As a firm that operates on a global scale, English is important to us. A high level of English proficiency is necessary for the job as we have staff with diverse backgrounds and you will have the opportunity to work with clients from all over the world. However, we will provide you with the training and development to support your improvement over time. In the meantime, we encourage you to use simple English in your application and during interviews and be yourself.\n\n \n\n[back to top](#top)\n\n ## Applying	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:general	[]	false	[]	9
When can I start applying?	• Local students: each year from September to December.\n\n • Overseas students: year round.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:application	[]	false	[]	10
Do applications have to be submitted online?	Yes, we will only accept applications submitted through our website. We regard this as the best and most effective way for you to be considered in a timely manner.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:application	[]	false	[]	11
Are there any specific guidelines for the application form?	• The form must be completed in full with correct and up-to-date information.\n\n  • You must show a positive attitude and a real interest in the business.\n\n  • You must express yourself sufficiently and make an effort to answer all the questions properly.\n\n • You must hold the relevant passport/ID to work in your chosen office.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:application	[]	false	[]	12
How is my application screened?	Your details will be viewed by KPMG recruiters. We guarantee all applications will be screened thoroughly and carefully.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:application	[]	false	[]	13
